,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Period,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,1105.96,689.03,41.71,19.08,-73.47,-79.98,-37.88,533.32,344.95,251.22,205.65,-67.26,-2.45,-11.17,-13.26,4.17,-51.71,-7.73,-0.71,225.24,93.25,36.0,11.77,-8.06,29.28,51.21,86.85,103.45,83.9,28.97,-11.05,14.3,-26.8,127.74,25.76,-1.47,122.77,-22.6,234.79,-32.0,34.27,41.52,-34.06,27.8,63.03,-8.11,-44.94,-34.03,-57.19,-81.06,19.32,89.05,-2.01,401.14,123.2,58.87,-44.72,-88.88,-8.7,136.89,163.66,627.51,83.05,9.9
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,3459.65,565.75,22.47,-7.97,-89.27,-91.85,-51.73,1289.44,943.56,701.74,579.98,-72.22,4.92,0.45,1.09,12.01,-58.28,-12.61,-4.27,332.8,155.23,55.15,10.31,-19.15,1.16,20.68,79.57,123.47,111.33,34.54,-24.35,6.85,-33.13,153.17,26.86,-3.31,121.81,-24.89,343.11,-31.98,41.2,32.66,-33.91,26.95,63.06,-1.84,-53.58,-41.13,-58.63,-84.2,60.49,119.3,15.49,547.24,133.34,50.65,-44.96,-90.81,-9.34,137.76,144.68,705.58,79.42,22.64
Koszty sprzedaży,,,,,,,,,-84.01,-59.9,-21.67,-39.51,125.11,-59.26,-33.86,-15.38,25.9,68.89,122.12,141.34,97.47,135.38,125.22,90.97,-14.5,-26.83,-27.05,26.57,61.39,59.17,33.4,29.99,55.17,70.4,40.74,-3.3,12.95,11.55,26.21,-12.89,26.64,-0.56,10.87,11.68,9.18,37.36,14.17,-2.93,11.38,-13.76,-33.82,12.96,-12.95,-32.78,5.28,-7.13,7.37,66.3,52.33,28.41,28.41,9.25,23.43,25.16,0.34,15.97,18.58,55.23
Koszty ogólnego zarządu,,,,,-2.02,-5.81,-48.17,51.61,-26.8,-62.74,-52.56,-25.93,-12.04,52.46,15.12,39.74,11.36,11.65,66.18,-14.38,1.34,2.62,-34.53,68.61,9.64,16.35,92.87,-9.16,11.41,46.11,-25.73,12.28,-0.32,-13.96,7.78,129.43,64.41,121.35,32.09,-31.46,-14.39,-3.3,16.6,99.74,63.13,37.84,12.85,-40.64,-7.3,-11.34,19.73,41.18,6.4,-28.59,-34.32,-30.48,15.7,51.53,65.42,96.25,41.33,46.9,31.88,-34.78,-4.33,58.22,183.02,210.41
Zysk ze sprzedaży,,,,,2278.19,840.53,1305.99,-1.92,-50.14,-60.04,-21.76,559.06,211.5,133.27,118.34,-70.37,-16.57,-35.32,-51.24,-9.31,-52.29,-8.17,10.12,109.36,28.27,7.38,0.32,30.43,129.45,156.41,191.16,87.66,55.02,24.43,3.96,21.95,-24.34,96.19,23.23,12.21,161.07,-21.4,163.44,-56.36,22.87,61.51,-40.99,86.79,71.23,-18.35,-34.76,-39.44,-58.9,-85.85,-36.36,102.29,-35.18,437.72,108.53,74.55,-69.62,-123.31,-19.35,177.88,506.17,366.18,79.41,-24.45
Pozostałe przychody operacyjne,,,,,628.0,36.61,-100.16,3314.84,18491.21,-651.3,-5493.55,-176.26,-141.6,244.65,23.4,139.47,121.92,-103.52,650.44,-17.46,-80.98,121.21,-99.55,-24.78,2734.75,27009.24,1438.16,-147.2,-64.09,-116.05,5.39,389.68,-765.63,661.77,611.34,-73.92,112.37,137.29,-273.28,26.27,-1788.82,-99.71,151.47,-634.83,126.62,19440.4,-300.63,105.2,-127.44,-196.07,176.53,-2763.54,1202.87,-114.4,-67.75,-162.56,-86.82,66.39,40.76,105.83,126.05,121.39,57.49,-435.52,-106.73,-406.84,-61.13,89.7
Pozostałe koszty operacyjne,,,,,292.86,-97.37,-98.68,1529.35,748.18,-114.63,498.66,-90.19,-78.99,733.33,-63.12,201.46,-75.0,305.26,2040.43,-14.3,56973.47,-2834.42,161.99,-281.19,-99.41,112.75,-97.89,100.37,-6.67,-70.58,216.97,199.15,64.29,241.14,-119.55,1164.86,-13.04,154.73,355.6,-95.23,83.64,-70.43,195.94,812.8,40.84,480.54,-23.31,227.57,-56.24,-26.94,23.25,-54.4,366.27,-111.09,7.37,-42.82,-37.3,710.99,-27.62,72.16,42.72,37.28,125.84,-3.11,83.54,-161.49,43.45,-84.07
Zysk operacyjny (EBIT),,,,,2279.32,895.4,-94.42,1718.78,205.48,-124.5,-200.2,-221.68,-85.78,794.45,144.69,134.68,250.97,-70.65,1475.7,-17.33,-199.33,46.37,-122.49,231.58,236.67,209.66,188.45,-86.72,9.29,-52.73,125.17,649.07,-113.62,204.0,110.14,-27.41,907.19,115.72,-143.01,23.76,-138.23,-62.94,538.61,-155.93,991.94,138.51,-109.36,212.46,31.62,-78.71,820.88,-238.48,-11.29,-391.95,-56.32,-180.47,-62.29,128.36,88.26,165.6,-35.38,-135.24,2.01,110.33,126.48,286.66,10.19,-11.38
Przychody finansowe,,,,,2007.69,69.33,-158.64,-159.78,-87.97,-92.53,120.47,141.53,1292.61,-2429.67,1742.52,-35.85,-93.02,116.98,-62.61,-13.39,1280.59,-219.26,307.79,186.29,-85.54,164.25,-89.08,-45.85,-52.1,-35.29,-15.41,-52.05,2860.2,-1556.21,-647.07,-262.03,-97.48,106.56,122.15,165.38,4349.04,-36.66,-857.9,1207.05,-94.96,150.31,114.1,-93.18,-31.35,487.61,-569.8,706.22,11.61,-92.27,102.15,-98.48,-63.62,967.71,-5512.59,490.61,39.74,-60.35,135.03,341.53,1034.38,368.3,144.93,74.83
