,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Period,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,2389.29,212.83,375.7,98.61,46.48,128.11,31.67,174.17,159.35,152.04,103.84,61.14,109.67,51.28,12.9,34.64,17.24,6.8,68.75,3.7,19.65,-23.73,-35.49,-16.2
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,749.09,95.24,133.91,53.7,29.98,39.69,0.65,278.31,84.84,285.71,160.2,311.15,260.96,79.79,44.14,-3.02,-0.94,62.42,92.61,-5.64,51.15,-28.97,-30.8,-7.97
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,951.85,1011.76,1236.23,138.11,80.0,233.6,74.23,115.05,268.6,85.25,59.15,-188.55,-1.57,21.62,-27.6,140.01,66.25,-78.74,7.18,108.62,-30.96,37.91,-57.2,-58.0
Pozostałe przychody operacyjne,,,,,,,,,2025.0,2900.0,9225.0,,-82.35,-103.57,-101.61,666.52,-40.0,1775.0,100.0,-100.88,-100.0,-31.34,,-230.43,,-100.0,-97.5,101.32
Pozostałe koszty operacyjne,,,,,,,,,,,,-272.83,-80.0,-95.56,-78.44,106.29,230.43,4475.0,-45.83,-250.0,-100.0,-100.0,-100.0,893.33,,,,167.23
Zysk operacyjny (EBIT),,,,,966.67,1000.0,1242.03,48.21,64.1,218.98,78.3,249.23,295.31,94.8,49.18,-25.49,-5.47,9.38,-26.77,-51.1,74.01,-74.43,15.11,25.91,-30.64,26.15,-60.22,-163.79
Przychody finansowe,,,,,,,-60.22,353.21,8300.0,,181.08,-78.74,-26.49,1119.0,371.15,-94.29,523.48,-101.64,-131.43,833.33,-97.79,2030.0,209.74,-321.43,70.59,-64.51,-34.32,270.16
Koszty finansowe,,,,,,,,200.0,400.0,400.0,-350.0,-83.33,-60.0,466.67,140.0,800.0,700.0,423.53,-4600.0,-88.89,-93.75,-96.63,113.33,1615400.0,2000.0,6233.33,-566.67,-53.23
Pozostałe przychody (koszty),,,,,,,,,,,,,542.86,7350.0,558.33,64671.43,280.65,-108.97,-106.33,-99.5,-139.83,38.46,-1290.0,-226.58,1170.21,-1025.0,12.95,-98.5
Zysk z działalności gospodarczej,,,,,977.78,1002.94,3329.17,127.78,198.73,243.47,86.88,84.73,153.39,185.02,78.28,1789.72,71.52,-34.08,-46.72,-97.59,-19.3,-57.64,22.18,-2088.64,-8.5,-33.95,-58.04,47.89
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,977.78,1002.94,3329.17,127.78,198.73,243.47,86.88,84.73,153.39,185.02,78.28,1789.72,71.52,-34.08,-46.72,-97.59,-19.3,-57.64,22.18,-2088.64,-8.5,-33.95,-58.04,47.89
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,900.0,935.29,3677.78,101.86,206.94,234.38,63.09,69.91,90.2,167.2,96.75,1918.48,96.67,-41.11,-53.53,-97.08,-24.15,-48.7,35.31,-1803.15,-4.2,-56.0,-55.39,48.65
Zysk netto akcjonariuszy jednostki dominującej,,,,,900.0,935.29,3677.78,101.86,206.94,234.38,63.09,69.91,90.2,167.54,97.75,1916.94,99.68,-39.89,-49.07,-96.71,-23.39,-42.0,41.09,-1564.18,-2.75,-61.2,-59.9,47.5
Aktywa trwałe,,,,,,,-43.06,,2257.89,926.42,1260.98,296.24,92.41,120.04,210.93,3227.49,3188.28,2319.63,1567.78,3.23,2.29,0.08,-0.48,-48.74,-49.88,-49.53,-49.79,-72.24
Wartości niematerialne i prawne,,,,,,,,,,717.39,731.82,154.55,160.27,-5.32,-11.48,-28.06,32.11,15.17,14.81,90.78,-2.79,21.95,28.49,-44.24,-61.89,-67.2,-69.46,-56.67
Rzeczowe składniki majątku trwałego,,,,,,,,,,-100.0,,,,,,,,,1060.0,16.48,13.95,-26.23,5.17,10.38,-30.61,-32.22,-45.08,-49.57
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,-73.61,,1873.68,1773.68,1873.68,376.47,79.2,159.27,305.87,4149.85,4031.7,2969.12,1763.47,3.44,2.85,-0.23,-1.21,-60.14,-60.37,-60.0,-60.09,-66.69
Pozostałe aktywa trwałe,,,,,,,,,,,,,,,,,,220.83,563.41,-58.47,-60.49,24.68,52.94,2392.31,3082.29,728.91,653.61,-93.21
Aktywa obrotowe,,,,,712.11,244.2,116.86,87.17,223.38,239.2,105.44,123.78,35.67,60.97,203.06,226.96,248.46,86.03,11.05,0.56,-10.94,-6.71,-0.18,-12.23,-9.28,6.98,-0.18,1.39
Zapasy,,,,,441.43,169.08,136.36,98.6,89.31,68.43,42.39,85.43,116.52,113.77,126.21,34.4,34.57,24.67,29.83,63.68,52.79,71.22,61.31,53.45,60.6,38.34,28.98,16.96
Należności krótkoterminowe,,,,,1011.11,391.8,1814.63,76.32,567.0,196.0,101.91,246.48,101.65,265.09,67.07,69.17,83.57,-1.85,-13.94,56.57,35.07,20.96,135.15,5.11,38.32,43.13,-10.95,-3.87
Inwestycje krótkoterminowe,,,,,1041.12,388.55,74.75,60.5,278.46,393.69,157.16,151.87,1.04,14.12,286.87,401.87,436.95,165.36,10.86,-15.92,-25.87,-32.25,-35.96,-37.96,-42.9,-26.12,-16.94,-9.04
Środki pieniężne i inne aktywa pieniężne,,,,,1041.12,388.55,74.75,69.01,278.46,393.69,-37.72,151.87,1.04,14.12,1497.4,401.87,436.95,161.83,10.86,-15.92,-25.87,-31.33,-36.56,-42.02,-43.61,-26.12,-16.16,-2.67
Pozostałe aktywa obrotowe,,,,,,-100.0,-100.0,,,,,-100.0,,-100.0,,,,,-17.37,-100.0,-100.0,-100.0,-100.0,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,719.53,251.88,110.12,97.76,241.8,254.2,118.63,133.01,39.21,64.71,203.62,500.24,502.3,274.78,124.36,1.91,-4.7,-3.0,-0.34,-30.9,-29.82,-24.83,-26.98,-26.55
Kapitał własny akcjonariuszy jednostki dominującej,,,,,718.61,238.78,82.36,106.69,269.49,267.28,142.39,127.26,36.64,30.87,145.19,454.97,422.16,303.06,157.28,-2.16,-6.04,-6.79,-5.58,-35.37,-33.92,-28.21,-29.42,-18.38
Kapitał (fundusz) podstawowy,,,,,400.0,0.0,0.0,0.0,4.6,4.6,4.6,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
